"X1","X2","X3","X4","X5","Y1"
"Muy alto","Bajo","Alto","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Medio","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Alto","Moderadamente bajo","HL3"
"Muy alto","Medio","Alto","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Medio","Alto","Bajo","Moderadamente bajo","HL3"
"Muy alto","Medio","Alto","Medio","Moderadamente bajo","HL3"
"Muy alto","Medio","Alto","Alto","Moderadamente bajo","HL3"
"Muy alto","Medio","Alto","Muy bajo","Moderadamente bajo","HL4"
"Muy alto","Medio","Alto","Bajo","Moderadamente bajo","HL4"
"Muy alto","Medio","Alto","Medio","Moderadamente bajo","HL4"
"Muy alto","Medio","Alto","Alto","Moderadamente bajo","HL4"
"Muy alto","Muy alto","Alto","Muy bajo","Moderadamente bajo","HL4"
"Muy alto","Muy alto","Alto","Bajo","Moderadamente bajo","HL4"
"Muy alto","Muy alto","Alto","Medio","Moderadamente bajo","HL4"
"Muy alto","Muy alto","Alto","Alto","Moderadamente bajo","HL4"
"Muy bajo","Muy bajo","Alto","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Alto","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Alto","Medio","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Alto","Alto","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Alto","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Alto","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Alto","Medio","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Alto","Alto","Moderadamente bajo","HL2"
"Muy bajo","Bajo","Alto","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Bajo","Alto","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Bajo","Alto","Medio","Moderadamente bajo","HL2"
"Muy bajo","Bajo","Alto","Alto","Moderadamente bajo","HL2"
"Muy bajo","Medio","Alto","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Alto","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Alto","Medio","Moderadamente bajo","HL2"
"Muy bajo","Medio","Alto","Alto","Moderadamente bajo","HL2"
"Muy bajo","Medio","Alto","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Alto","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Alto","Medio","Moderadamente bajo","HL2"
"Muy bajo","Medio","Alto","Alto","Moderadamente bajo","HL2"
"Muy bajo","Alto","Alto","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Alto","Alto","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Alto","Alto","Medio","Moderadamente bajo","HL2"
"Muy bajo","Alto","Alto","Alto","Moderadamente bajo","HL2"
"Muy alto","Bajo","Alto","Muy bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Medio","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Alto","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Muy bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Medio","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Alto","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Muy bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Medio","Moderadamente alto","HL3"
"Muy alto","Bajo","Alto","Alto","Moderadamente alto","HL3"
"Muy alto","Medio","Alto","Muy bajo","Moderadamente alto","HL3"
"Muy alto","Medio","Alto","Bajo","Moderadamente alto","HL3"
"Muy alto","Medio","Alto","Medio","Moderadamente alto","HL3"
"Muy alto","Medio","Alto","Alto","Moderadamente alto","HL3"
"Muy alto","Medio","Alto","Muy bajo","Moderadamente alto","HL4"
"Muy alto","Medio","Alto","Bajo","Moderadamente alto","HL4"
"Muy alto","Medio","Alto","Medio","Moderadamente alto","HL4"
"Muy alto","Medio","Alto","Alto","Moderadamente alto","HL4"
"Muy alto","Muy alto","Alto","Muy bajo","Moderadamente alto","HL4"
"Muy alto","Muy alto","Alto","Bajo","Moderadamente alto","HL4"
"Muy alto","Muy alto","Alto","Medio","Moderadamente alto","HL4"
"Muy alto","Muy alto","Alto","Alto","Moderadamente alto","HL4"
"Muy bajo","Muy bajo","Alto","Muy bajo","Moderadamente alto","HL2"
"Muy bajo","Muy bajo","Alto","Bajo","Moderadamente alto","HL2"
"Muy bajo","Muy bajo","Alto","Medio","Moderadamente alto","HL2"
"Muy bajo","Muy bajo","Alto","Alto","Moderadamente alto","HL2"
"Muy bajo","Muy bajo","Alto","Muy bajo","Moderadamente alto","HL2"
"Muy bajo","Muy bajo","Alto","Bajo","Moderadamente alto","HL2"
"Muy bajo","Muy bajo","Alto","Medio","Moderadamente alto","HL2"
"Muy bajo","Muy bajo","Alto","Alto","Moderadamente alto","HL2"
"Muy bajo","Bajo","Alto","Muy bajo","Moderadamente alto","HL2"
"Muy bajo","Bajo","Alto","Bajo","Moderadamente alto","HL2"
"Muy bajo","Bajo","Alto","Medio","Moderadamente alto","HL2"
"Muy bajo","Bajo","Alto","Alto","Moderadamente alto","HL2"
"Muy bajo","Medio","Alto","Muy bajo","Moderadamente alto","HL2"
"Muy bajo","Medio","Alto","Bajo","Moderadamente alto","HL2"
"Muy bajo","Medio","Alto","Medio","Moderadamente alto","HL2"
"Muy bajo","Medio","Alto","Alto","Moderadamente alto","HL2"
"Muy bajo","Medio","Alto","Muy bajo","Moderadamente alto","HL2"
"Muy bajo","Medio","Alto","Bajo","Moderadamente alto","HL2"
"Muy bajo","Medio","Alto","Medio","Moderadamente alto","HL2"
"Muy bajo","Medio","Alto","Alto","Moderadamente alto","HL2"
"Muy bajo","Alto","Alto","Muy bajo","Moderadamente alto","HL2"
"Muy bajo","Alto","Alto","Bajo","Moderadamente alto","HL2"
"Muy bajo","Alto","Alto","Medio","Moderadamente alto","HL2"
"Muy bajo","Alto","Alto","Alto","Moderadamente alto","HL2"
"Muy alto","Bajo","Medio","Muy bajo","Alto","HL3"
"Muy alto","Bajo","Medio","Bajo","Alto","HL3"
"Muy alto","Bajo","Medio","Medio","Alto","HL3"
"Muy alto","Bajo","Medio","Alto","Alto","HL3"
"Muy alto","Bajo","Medio","Muy bajo","Alto","HL3"
"Muy alto","Bajo","Medio","Bajo","Alto","HL3"
"Muy alto","Bajo","Medio","Medio","Alto","HL3"
"Muy alto","Bajo","Medio","Alto","Alto","HL3"
"Muy alto","Bajo","Medio","Muy bajo","Alto","HL3"
"Muy alto","Bajo","Medio","Bajo","Alto","HL3"
"Muy alto","Bajo","Medio","Medio","Alto","HL3"
"Muy alto","Bajo","Medio","Alto","Alto","HL3"
"Muy alto","Medio","Medio","Muy bajo","Alto","HL3"
"Muy alto","Medio","Medio","Bajo","Alto","HL3"
"Muy alto","Medio","Medio","Medio","Alto","HL3"
"Muy alto","Medio","Medio","Alto","Alto","HL3"
"Muy alto","Medio","Medio","Muy bajo","Alto","HL4"
"Muy alto","Medio","Medio","Bajo","Alto","HL4"
"Muy alto","Medio","Medio","Medio","Alto","HL4"
"Muy alto","Medio","Medio","Alto","Alto","HL4"
"Muy alto","Muy alto","Medio","Muy bajo","Alto","HL4"
"Muy alto","Muy alto","Medio","Bajo","Alto","HL4"
"Muy alto","Muy alto","Medio","Medio","Alto","HL4"
"Muy alto","Muy alto","Medio","Alto","Alto","HL4"
"Muy bajo","Muy bajo","Medio","Muy bajo","Alto","HL2"
"Muy bajo","Muy bajo","Medio","Bajo","Alto","HL2"
"Muy bajo","Muy bajo","Medio","Medio","Alto","HL2"
"Muy bajo","Muy bajo","Medio","Alto","Alto","HL2"
"Muy bajo","Muy bajo","Medio","Muy bajo","Alto","HL2"
"Muy bajo","Muy bajo","Medio","Bajo","Alto","HL2"
"Muy bajo","Muy bajo","Medio","Medio","Alto","HL2"
"Muy bajo","Muy bajo","Medio","Alto","Alto","HL2"
"Muy bajo","Bajo","Medio","Muy bajo","Alto","HL2"
"Muy bajo","Bajo","Medio","Bajo","Alto","HL2"
"Muy bajo","Bajo","Medio","Medio","Alto","HL2"
"Muy bajo","Bajo","Medio","Alto","Alto","HL2"
"Muy bajo","Medio","Medio","Muy bajo","Alto","HL2"
"Muy bajo","Medio","Medio","Bajo","Alto","HL2"
"Muy bajo","Medio","Medio","Medio","Alto","HL2"
"Muy bajo","Medio","Medio","Alto","Alto","HL2"
"Muy bajo","Medio","Medio","Muy bajo","Alto","HL2"
"Muy bajo","Medio","Medio","Bajo","Alto","HL2"
"Muy bajo","Medio","Medio","Medio","Alto","HL2"
"Muy bajo","Medio","Medio","Alto","Alto","HL2"
"Muy bajo","Alto","Medio","Muy bajo","Alto","HL2"
"Muy bajo","Alto","Medio","Bajo","Alto","HL2"
"Muy bajo","Alto","Medio","Medio","Alto","HL2"
"Muy bajo","Alto","Medio","Alto","Alto","HL2"
"Muy alto","Bajo","Medio","Muy bajo","Muy alto","HL3"
"Muy alto","Bajo","Medio","Bajo","Muy alto","HL3"
"Muy alto","Bajo","Medio","Medio","Muy alto","HL3"
"Muy alto","Bajo","Medio","Alto","Muy alto","HL3"
"Muy alto","Bajo","Medio","Muy bajo","Muy alto","HL3"
"Muy alto","Bajo","Medio","Bajo","Muy alto","HL3"
"Muy alto","Bajo","Medio","Medio","Muy alto","HL3"
"Muy alto","Bajo","Medio","Alto","Muy alto","HL3"
"Muy alto","Bajo","Medio","Muy bajo","Muy alto","HL3"
"Muy alto","Bajo","Medio","Bajo","Muy alto","HL3"
"Muy alto","Bajo","Medio","Medio","Muy alto","HL3"
"Muy alto","Bajo","Medio","Alto","Muy alto","HL3"
"Muy alto","Medio","Medio","Muy bajo","Muy alto","HL3"
"Muy alto","Medio","Medio","Bajo","Muy alto","HL3"
"Muy alto","Medio","Medio","Medio","Muy alto","HL3"
"Muy alto","Medio","Medio","Alto","Muy alto","HL3"
"Muy alto","Medio","Medio","Muy bajo","Muy alto","HL4"
"Muy alto","Medio","Medio","Bajo","Muy alto","HL4"
"Muy alto","Medio","Medio","Medio","Muy alto","HL4"
"Muy alto","Medio","Medio","Alto","Muy alto","HL4"
"Muy alto","Muy alto","Medio","Muy bajo","Muy alto","HL4"
"Muy alto","Muy alto","Medio","Bajo","Muy alto","HL4"
"Muy alto","Muy alto","Medio","Medio","Muy alto","HL4"
"Muy alto","Muy alto","Medio","Alto","Muy alto","HL4"
"Muy bajo","Muy bajo","Medio","Muy bajo","Muy alto","HL2"
"Muy bajo","Muy bajo","Medio","Bajo","Muy alto","HL2"
"Muy bajo","Muy bajo","Medio","Medio","Muy alto","HL2"
"Muy bajo","Muy bajo","Medio","Alto","Muy alto","HL2"
"Muy bajo","Muy bajo","Medio","Muy bajo","Muy alto","HL2"
"Muy bajo","Muy bajo","Medio","Bajo","Muy alto","HL2"
"Muy bajo","Muy bajo","Medio","Medio","Muy alto","HL2"
"Muy bajo","Muy bajo","Medio","Alto","Muy alto","HL2"
"Muy bajo","Bajo","Medio","Muy bajo","Muy alto","HL2"
"Muy bajo","Bajo","Medio","Bajo","Muy alto","HL2"
"Muy bajo","Bajo","Medio","Medio","Muy alto","HL2"
"Muy bajo","Bajo","Medio","Alto","Muy alto","HL2"
"Muy bajo","Medio","Medio","Muy bajo","Muy alto","HL2"
"Muy bajo","Medio","Medio","Bajo","Muy alto","HL2"
"Muy bajo","Medio","Medio","Medio","Muy alto","HL2"
"Muy bajo","Medio","Medio","Alto","Muy alto","HL2"
"Muy bajo","Medio","Medio","Muy bajo","Muy alto","HL2"
"Muy bajo","Medio","Medio","Bajo","Muy alto","HL2"
"Muy bajo","Medio","Medio","Medio","Muy alto","HL2"
"Muy bajo","Medio","Medio","Alto","Muy alto","HL2"
"Muy bajo","Alto","Medio","Muy bajo","Muy alto","HL2"
"Muy bajo","Alto","Medio","Bajo","Muy alto","HL2"
"Muy bajo","Alto","Medio","Medio","Muy alto","HL2"
"Muy bajo","Alto","Medio","Alto","Muy alto","HL2"
"Muy alto","Bajo","Bajo","Muy bajo","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Bajo","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Medio","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Alto","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Muy bajo","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Bajo","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Medio","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Alto","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Muy bajo","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Bajo","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Medio","Muy alto","HL3"
"Muy alto","Bajo","Bajo","Alto","Muy alto","HL3"
"Muy alto","Medio","Bajo","Muy bajo","Muy alto","HL3"
"Muy alto","Medio","Bajo","Bajo","Muy alto","HL3"
"Muy alto","Medio","Bajo","Medio","Muy alto","HL3"
"Muy alto","Medio","Bajo","Alto","Muy alto","HL3"
"Muy alto","Medio","Bajo","Muy bajo","Muy alto","HL4"
"Muy alto","Medio","Bajo","Bajo","Muy alto","HL4"
"Muy alto","Medio","Bajo","Medio","Muy alto","HL4"
"Muy alto","Medio","Bajo","Alto","Muy alto","HL4"
"Muy alto","Muy alto","Bajo","Muy bajo","Muy alto","HL4"
"Muy alto","Muy alto","Bajo","Bajo","Muy alto","HL4"
"Muy alto","Muy alto","Bajo","Medio","Muy alto","HL4"
"Muy alto","Muy alto","Bajo","Alto","Muy alto","HL4"
"Muy bajo","Muy bajo","Bajo","Muy bajo","Muy alto","HL2"
"Muy bajo","Muy bajo","Bajo","Bajo","Muy alto","HL2"
"Muy bajo","Muy bajo","Bajo","Medio","Muy alto","HL2"
"Muy bajo","Muy bajo","Bajo","Alto","Muy alto","HL2"
"Muy bajo","Muy bajo","Bajo","Muy bajo","Muy alto","HL2"
"Muy bajo","Muy bajo","Bajo","Bajo","Muy alto","HL2"
"Muy bajo","Muy bajo","Bajo","Medio","Muy alto","HL2"
"Muy bajo","Muy bajo","Bajo","Alto","Muy alto","HL2"
"Muy bajo","Bajo","Bajo","Muy bajo","Muy alto","HL2"
"Muy bajo","Bajo","Bajo","Bajo","Muy alto","HL2"
"Muy bajo","Bajo","Bajo","Medio","Muy alto","HL2"
"Muy bajo","Bajo","Bajo","Alto","Muy alto","HL2"
"Muy bajo","Medio","Bajo","Muy bajo","Muy alto","HL2"
"Muy bajo","Medio","Bajo","Bajo","Muy alto","HL2"
"Muy bajo","Medio","Bajo","Medio","Muy alto","HL2"
"Muy bajo","Medio","Bajo","Alto","Muy alto","HL2"
"Muy bajo","Medio","Bajo","Muy bajo","Muy alto","HL2"
"Muy bajo","Medio","Bajo","Bajo","Muy alto","HL2"
"Muy bajo","Medio","Bajo","Medio","Muy alto","HL2"
"Muy bajo","Medio","Bajo","Alto","Muy alto","HL2"
"Muy bajo","Alto","Bajo","Muy bajo","Muy alto","HL2"
"Muy bajo","Alto","Bajo","Bajo","Muy alto","HL2"
"Muy bajo","Alto","Bajo","Medio","Muy alto","HL2"
"Muy bajo","Alto","Bajo","Alto","Muy alto","HL2"
"Muy alto","Bajo","Medio","Muy bajo","Bajo","HL3"
"Muy alto","Bajo","Medio","Bajo","Bajo","HL3"
"Muy alto","Bajo","Medio","Medio","Bajo","HL3"
"Muy alto","Bajo","Medio","Alto","Bajo","HL3"
"Muy alto","Bajo","Medio","Muy bajo","Bajo","HL4"
"Muy alto","Bajo","Medio","Bajo","Bajo","HL4"
"Muy alto","Bajo","Medio","Medio","Bajo","HL4"
"Muy alto","Bajo","Medio","Alto","Bajo","HL4"
"Muy alto","Bajo","Medio","Muy bajo","Bajo","HL3"
"Muy alto","Bajo","Medio","Bajo","Bajo","HL4"
"Muy alto","Bajo","Medio","Medio","Bajo","HL3"
"Muy alto","Bajo","Medio","Alto","Bajo","HL3"
"Muy alto","Medio","Medio","Muy bajo","Bajo","HL3"
"Muy alto","Medio","Medio","Bajo","Bajo","HL3"
"Muy alto","Medio","Medio","Medio","Bajo","HL3"
"Muy alto","Medio","Medio","Alto","Bajo","HL3"
"Muy alto","Medio","Medio","Muy bajo","Bajo","HL4"
"Muy alto","Medio","Medio","Bajo","Bajo","HL5"
"Muy alto","Medio","Medio","Medio","Bajo","HL4"
"Muy alto","Medio","Medio","Alto","Bajo","HL4"
"Muy alto","Muy alto","Medio","Muy bajo","Bajo","HL4"
"Muy alto","Muy alto","Medio","Bajo","Bajo","HL4"
"Muy alto","Muy alto","Medio","Medio","Bajo","HL4"
"Muy alto","Muy alto","Medio","Alto","Bajo","HL4"
"Muy bajo","Muy bajo","Medio","Muy bajo","Bajo","HL2"
"Muy bajo","Muy bajo","Medio","Bajo","Bajo","HL2"
"Muy bajo","Muy bajo","Medio","Medio","Bajo","HL2"
"Muy bajo","Muy bajo","Medio","Alto","Bajo","HL2"
"Muy bajo","Muy bajo","Medio","Muy bajo","Bajo","HL2"
"Muy bajo","Muy bajo","Medio","Bajo","Bajo","HL2"
"Muy bajo","Muy bajo","Medio","Medio","Bajo","HL2"
"Muy bajo","Muy bajo","Medio","Alto","Bajo","HL2"
"Muy bajo","Bajo","Medio","Muy bajo","Bajo","HL2"
"Muy bajo","Bajo","Medio","Bajo","Bajo","HL2"
"Muy bajo","Bajo","Medio","Medio","Bajo","HL2"
"Muy bajo","Bajo","Medio","Alto","Bajo","HL2"
"Muy bajo","Medio","Medio","Muy bajo","Bajo","HL2"
"Muy bajo","Medio","Medio","Bajo","Bajo","HL2"
"Muy bajo","Medio","Medio","Medio","Bajo","HL2"
"Muy bajo","Medio","Medio","Alto","Bajo","HL2"
"Muy bajo","Medio","Medio","Muy bajo","Bajo","HL2"
"Muy bajo","Medio","Medio","Bajo","Bajo","HL2"
"Muy bajo","Medio","Medio","Medio","Bajo","HL2"
"Muy bajo","Medio","Medio","Alto","Bajo","HL2"
"Muy bajo","Alto","Medio","Muy bajo","Bajo","HL2"
"Muy bajo","Alto","Medio","Bajo","Bajo","HL2"
"Muy bajo","Alto","Medio","Medio","Bajo","HL2"
"Muy bajo","Alto","Medio","Alto","Bajo","HL2"
"Muy alto","Bajo","Medio","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Medio","Bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Medio","Medio","Moderadamente bajo","HL3"
"Muy alto","Bajo","Medio","Alto","Moderadamente bajo","HL3"
"Muy alto","Bajo","Medio","Muy bajo","Moderadamente bajo","HL4"
"Muy alto","Bajo","Medio","Bajo","Moderadamente bajo","HL4"
"Muy alto","Bajo","Medio","Medio","Moderadamente bajo","HL4"
"Muy alto","Bajo","Medio","Alto","Moderadamente bajo","HL4"
"Muy alto","Bajo","Medio","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Medio","Bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Medio","Medio","Moderadamente bajo","HL3"
"Muy alto","Bajo","Medio","Alto","Moderadamente bajo","HL3"
"Muy alto","Medio","Medio","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Medio","Medio","Bajo","Moderadamente bajo","HL3"
"Muy alto","Medio","Medio","Medio","Moderadamente bajo","HL3"
"Muy alto","Medio","Medio","Alto","Moderadamente bajo","HL3"
"Muy alto","Medio","Medio","Muy bajo","Moderadamente bajo","HL4"
"Muy alto","Medio","Medio","Bajo","Moderadamente bajo","HL5"
"Muy alto","Medio","Medio","Medio","Moderadamente bajo","HL4"
"Muy alto","Medio","Medio","Alto","Moderadamente bajo","HL4"
"Muy alto","Muy alto","Medio","Muy bajo","Moderadamente bajo","HL4"
"Muy alto","Muy alto","Medio","Bajo","Moderadamente bajo","HL4"
"Muy alto","Muy alto","Medio","Medio","Moderadamente bajo","HL4"
"Muy alto","Muy alto","Medio","Alto","Moderadamente bajo","HL4"
"Muy bajo","Muy bajo","Medio","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Medio","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Medio","Medio","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Medio","Alto","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Medio","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Medio","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Medio","Medio","Moderadamente bajo","HL2"
"Muy bajo","Muy bajo","Medio","Alto","Moderadamente bajo","HL2"
"Muy bajo","Bajo","Medio","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Bajo","Medio","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Bajo","Medio","Medio","Moderadamente bajo","HL2"
"Muy bajo","Bajo","Medio","Alto","Moderadamente bajo","HL2"
"Muy bajo","Medio","Medio","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Medio","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Medio","Medio","Moderadamente bajo","HL2"
"Muy bajo","Medio","Medio","Alto","Moderadamente bajo","HL2"
"Muy bajo","Medio","Medio","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Medio","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Medio","Medio","Moderadamente bajo","HL2"
"Muy bajo","Medio","Medio","Alto","Moderadamente bajo","HL2"
"Muy bajo","Alto","Medio","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Alto","Medio","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Alto","Medio","Medio","Moderadamente bajo","HL2"
"Muy bajo","Alto","Medio","Alto","Moderadamente bajo","HL2"
"Muy alto","Bajo","Bajo","Muy bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Bajo","Bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Bajo","Medio","Moderadamente alto","HL3"
"Muy alto","Bajo","Bajo","Alto","Moderadamente alto","HL3"
"Muy alto","Bajo","Bajo","Muy bajo","Moderadamente alto","HL4"
"Muy alto","Bajo","Bajo","Bajo","Moderadamente alto","HL4"
"Muy alto","Bajo","Bajo","Medio","Moderadamente alto","HL4"
"Muy alto","Bajo","Bajo","Alto","Moderadamente alto","HL4"
"Muy alto","Bajo","Bajo","Muy bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Bajo","Bajo","Moderadamente alto","HL3"
"Muy alto","Bajo","Bajo","Medio","Moderadamente alto","HL3"
"Muy alto","Bajo","Bajo","Alto","Moderadamente alto","HL3"
"Muy alto","Medio","Bajo","Muy bajo","Moderadamente alto","HL3"
"Muy alto","Medio","Bajo","Bajo","Moderadamente alto","HL3"
"Muy alto","Medio","Bajo","Medio","Moderadamente alto","HL3"
"Muy alto","Medio","Bajo","Alto","Moderadamente alto","HL3"
"Muy alto","Medio","Bajo","Muy bajo","Moderadamente alto","HL4"
"Muy alto","Medio","Bajo","Bajo","Moderadamente alto","HL4"
"Muy alto","Medio","Bajo","Medio","Moderadamente alto","HL4"
"Muy alto","Medio","Bajo","Alto","Moderadamente alto","HL4"
"Muy alto","Muy alto","Bajo","Muy bajo","Moderadamente alto","HL4"
